player,overs,maidens,runs,wickets,economy,average,sr,opposition,ground,date
GJ Maxwell (AUSTRALIA),2,0,10,0,5,-0,-0,v West Indies,Bridgetown,21/06/16
MA Starc (AUSTRALIA),10,1,51,3,5.1,17,20,v West Indies,Bridgetown,21/06/16
NM Coulter-Nile (AUSTRALIA),8,0,46,1,5.75,46,48,v West Indies,Bridgetown,26/06/16
JR Hazlewood (AUSTRALIA),9.4,1,50,5,5.17,10,11.6,v West Indies,Bridgetown,26/06/16
MR Marsh (AUSTRALIA),10,1,32,3,3.2,10.66,20,v West Indies,Bridgetown,26/06/16
MA Starc (AUSTRALIA),8,0,32,0,4,-0,-0,v West Indies,Bridgetown,26/06/16
A Zampa (AUSTRALIA),10,0,50,1,5,50,60,v West Indies,Bridgetown,26/06/16
JP Faulkner (AUSTRALIA),10,1,38,4,3.8,9.5,15,v Sri Lanka,Colombo (RPS),21/08/16
JR Hazlewood (AUSTRALIA),10,0,56,0,5.6,-0,-0,v Sri Lanka,Colombo (RPS),21/08/16
TM Head (AUSTRALIA),4,0,18,0,4.5,-0,-0,v Sri Lanka,Colombo (RPS),21/08/16
MC Henriques (AUSTRALIA),9,0,48,1,5.33,48,54,v Sri Lanka,Colombo (RPS),21/08/16
MA Starc (AUSTRALIA),10,1,32,3,3.2,10.66,20,v Sri Lanka,Colombo (RPS),21/08/16
A Zampa (AUSTRALIA),7,0,34,0,4.85,-0,-0,v Sri Lanka,Colombo (RPS),21/08/16
JP Faulkner (AUSTRALIA),9,0,45,3,5,15,18,v Sri Lanka,Colombo (RPS),24/08/16
AJ Finch (AUSTRALIA),2,0,7,0,3.5,-0,-0,v Sri Lanka,Colombo (RPS),24/08/16
TM Head (AUSTRALIA),4,0,41,0,10.25,-0,-0,v Sri Lanka,Colombo (RPS),24/08/16
MC Henriques (AUSTRALIA),5,0,40,0,8,-0,-0,v Sri Lanka,Colombo (RPS),24/08/16
NM Lyon (AUSTRALIA),9,0,49,1,5.44,49,54,v Sri Lanka,Colombo (RPS),24/08/16
MA Starc (AUSTRALIA),9.5,0,53,3,5.38,17.66,19.6,v Sri Lanka,Colombo (RPS),24/08/16
A Zampa (AUSTRALIA),10,0,42,3,4.2,14,20,v Sri Lanka,Colombo (RPS),24/08/16
JP Faulkner (AUSTRALIA),9.2,0,44,2,4.71,22,28,v Sri Lanka,Dambulla,28/08/16
JW Hastings (AUSTRALIA),10,1,41,2,4.1,20.5,30,v Sri Lanka,Dambulla,28/08/16
JR Hazlewood (AUSTRALIA),10,0,51,1,5.1,51,60,v Sri Lanka,Dambulla,28/08/16
MA Starc (AUSTRALIA),10,0,42,2,4.2,21,30,v Sri Lanka,Dambulla,28/08/16
A Zampa (AUSTRALIA),10,0,38,3,3.8,12.66,20,v Sri Lanka,Dambulla,28/08/16
SM Boland (AUSTRALIA),10,1,36,1,3.6,36,60,v Sri Lanka,Dambulla,31/08/16
JP Faulkner (AUSTRALIA),10,0,39,0,3.9,-0,-0,v Sri Lanka,Dambulla,31/08/16
JW Hastings (AUSTRALIA),10,0,45,6,4.5,7.5,10,v Sri Lanka,Dambulla,31/08/16
TM Head (AUSTRALIA),2,0,5,1,2.5,5,12,v Sri Lanka,Dambulla,31/08/16
MA Starc (AUSTRALIA),10,1,51,1,5.1,51,60,v Sri Lanka,Dambulla,31/08/16
A Zampa (AUSTRALIA),8,0,30,1,3.75,30,48,v Sri Lanka,Dambulla,31/08/16
SM Boland (AUSTRALIA),6.2,0,28,1,4.42,28,38,v Sri Lanka,Pallekele,04/09/16
JP Faulkner (AUSTRALIA),7,0,30,1,4.28,30,42,v Sri Lanka,Pallekele,04/09/16
JW Hastings (AUSTRALIA),7,1,30,1,4.28,30,42,v Sri Lanka,Pallekele,04/09/16
TM Head (AUSTRALIA),5,0,22,2,4.4,11,15,v Sri Lanka,Pallekele,04/09/16
MA Starc (AUSTRALIA),9,0,40,3,4.44,13.33,18,v Sri Lanka,Pallekele,04/09/16
A Zampa (AUSTRALIA),6,0,43,2,7.16,21.5,18,v Sri Lanka,Pallekele,04/09/16
SM Boland (AUSTRALIA),8,0,42,2,5.25,21,24,v Ireland,Benoni,27/09/16
JW Hastings (AUSTRALIA),7.5,0,31,2,3.95,15.5,23.5,v Ireland,Benoni,27/09/16
MR Marsh (AUSTRALIA),8,0,43,1,5.37,43,48,v Ireland,Benoni,27/09/16
DJ Worrall (AUSTRALIA),10,0,43,1,4.3,43,60,v Ireland,Benoni,27/09/16
A Zampa (AUSTRALIA),10,1,37,3,3.7,12.33,20,v Ireland,Benoni,27/09/16
SM Boland (AUSTRALIA),7,0,67,3,9.57,22.33,14,v South Africa,Centurion,30/09/16
JW Hastings (AUSTRALIA),7,0,52,0,7.42,-0,-0,v South Africa,Centurion,30/09/16
TM Head (AUSTRALIA),2,0,16,0,8,-0,-0,v South Africa,Centurion,30/09/16
MR Marsh (AUSTRALIA),8,0,66,0,8.25,-0,-0,v South Africa,Centurion,30/09/16
DJ Worrall (AUSTRALIA),7.2,0,50,0,6.81,-0,-0,v South Africa,Centurion,30/09/16
A Zampa (AUSTRALIA),5,0,44,1,8.8,44,30,v South Africa,Centurion,30/09/16
JW Hastings (AUSTRALIA),10,0,57,3,5.7,19,20,v South Africa,Johannesburg,02/10/16
TM Head (AUSTRALIA),2,0,21,0,10.5,-0,-0,v South Africa,Johannesburg,02/10/16
MR Marsh (AUSTRALIA),10,0,68,2,6.8,34,30,v South Africa,Johannesburg,02/10/16
JM Mennie (AUSTRALIA),10,0,82,0,8.2,-0,-0,v South Africa,Johannesburg,02/10/16
CP Tremain (AUSTRALIA),10,0,78,1,7.8,78,60,v South Africa,Johannesburg,02/10/16
A Zampa (AUSTRALIA),8,0,54,0,6.75,-0,-0,v South Africa,Johannesburg,02/10/16
JW Hastings (AUSTRALIA),10,0,79,2,7.9,39.5,30,v South Africa,Durban,05/10/16
TM Head (AUSTRALIA),3,0,31,1,10.33,31,18,v South Africa,Durban,05/10/16
MR Marsh (AUSTRALIA),10,0,61,1,6.1,61,60,v South Africa,Durban,05/10/16
CP Tremain (AUSTRALIA),10,0,65,1,6.5,65,60,v South Africa,Durban,05/10/16
DJ Worrall (AUSTRALIA),9,0,78,0,8.66,-0,-0,v South Africa,Durban,05/10/16
A Zampa (AUSTRALIA),7.2,1,55,1,7.5,55,44,v South Africa,Durban,05/10/16
SM Boland (AUSTRALIA),10,2,36,0,3.6,-0,-0,v South Africa,Port Elizabeth,09/10/16
JW Hastings (AUSTRALIA),4,0,27,0,6.75,-0,-0,v South Africa,Port Elizabeth,09/10/16
MR Marsh (AUSTRALIA),5,0,22,1,4.4,22,30,v South Africa,Port Elizabeth,09/10/16
CP Tremain (AUSTRALIA),10,0,48,2,4.8,24,30,v South Africa,Port Elizabeth,09/10/16
A Zampa (AUSTRALIA),6.3,0,32,1,4.92,32,39,v South Africa,Port Elizabeth,09/10/16
SM Boland (AUSTRALIA),10,0,68,2,6.8,34,30,v South Africa,Cape Town,12/10/16
TM Head (AUSTRALIA),8,0,49,0,6.12,-0,-0,v South Africa,Cape Town,12/10/16
MR Marsh (AUSTRALIA),7,0,53,0,7.57,-0,-0,v South Africa,Cape Town,12/10/16
JM Mennie (AUSTRALIA),10,2,49,3,4.9,16.33,20,v South Africa,Cape Town,12/10/16
CP Tremain (AUSTRALIA),10,0,64,3,6.4,21.33,20,v South Africa,Cape Town,12/10/16
A Zampa (AUSTRALIA),5,0,33,0,6.6,-0,-0,v South Africa,Cape Town,12/10/16
JJ Bumrah (INDIA),8,1,29,0,3.62,-0,-0,v New Zealand,Dharamsala,16/10/16
KM Jadhav (INDIA),3,0,6,2,2,3,9,v New Zealand,Dharamsala,16/10/16
A Mishra (INDIA),8.5,0,49,3,5.54,16.33,17.6,v New Zealand,Dharamsala,16/10/16
HH Pandya (INDIA),7,0,31,3,4.42,10.33,14,v New Zealand,Dharamsala,16/10/16
AR Patel (INDIA),9,1,41,0,4.55,-0,-0,v New Zealand,Dharamsala,16/10/16
UT Yadav (INDIA),8,0,31,2,3.87,15.5,24,v New Zealand,Dharamsala,16/10/16
JJ Bumrah (INDIA),10,0,35,3,3.5,11.66,20,v New Zealand,Delhi,20/10/16
KM Jadhav (INDIA),2,0,11,1,5.5,11,12,v New Zealand,Delhi,20/10/16
A Mishra (INDIA),10,0,60,3,6,20,20,v New Zealand,Delhi,20/10/16
HH Pandya (INDIA),9,0,45,0,5,-0,-0,v New Zealand,Delhi,20/10/16
AR Patel (INDIA),10,0,49,1,4.9,49,60,v New Zealand,Delhi,20/10/16
UT Yadav (INDIA),9,0,42,1,4.66,42,54,v New Zealand,Delhi,20/10/16
JJ Bumrah (INDIA),9.4,0,52,2,5.37,26,29,v New Zealand,Mohali,23/10/16
KM Jadhav (INDIA),5,0,29,3,5.8,9.66,10,v New Zealand,Mohali,23/10/16
A Mishra (INDIA),10,0,46,2,4.6,23,30,v New Zealand,Mohali,23/10/16
HH Pandya (INDIA),5,0,34,0,6.8,-0,-0,v New Zealand,Mohali,23/10/16
AR Patel (INDIA),10,0,49,0,4.9,-0,-0,v New Zealand,Mohali,23/10/16
UT Yadav (INDIA),10,0,75,3,7.5,25,20,v New Zealand,Mohali,23/10/16
KM Jadhav (INDIA),8,0,27,0,3.37,-0,-0,v New Zealand,Ranchi,26/10/16
DS Kulkarni (INDIA),7,0,59,1,8.42,59,42,v New Zealand,Ranchi,26/10/16
A Mishra (INDIA),10,0,42,2,4.2,21,30,v New Zealand,Ranchi,26/10/16
HH Pandya (INDIA),5,0,31,1,6.2,31,30,v New Zealand,Ranchi,26/10/16
AR Patel (INDIA),10,0,38,1,3.8,38,60,v New Zealand,Ranchi,26/10/16
UT Yadav (INDIA),10,1,60,1,6,60,60,v New Zealand,Ranchi,26/10/16
JJ Bumrah (INDIA),5,0,16,1,3.2,16,30,v New Zealand,Visakhapatnam,29/10/16
A Mishra (INDIA),6,2,18,5,3,3.6,7.2,v New Zealand,Visakhapatnam,29/10/16
AR Patel (INDIA),4.1,0,9,2,2.16,4.5,12.5,v New Zealand,Visakhapatnam,29/10/16
J Yadav (INDIA),4,0,8,1,2,8,24,v New Zealand,Visakhapatnam,29/10/16
UT Yadav (INDIA),4,0,28,1,7,28,24,v New Zealand,Visakhapatnam,29/10/16
PJ Cummins (AUSTRALIA),9,0,62,2,6.88,31,27,v New Zealand,Sydney,04/12/16
JR Hazlewood (AUSTRALIA),10,0,49,3,4.9,16.33,20,v New Zealand,Sydney,04/12/16
MR Marsh (AUSTRALIA),8.2,1,38,2,4.56,19,25,v New Zealand,Sydney,04/12/16
MA Starc (AUSTRALIA),7,1,37,1,5.28,37,42,v New Zealand,Sydney,04/12/16
A Zampa (AUSTRALIA),10,0,66,2,6.6,33,30,v New Zealand,Sydney,04/12/16
PJ Cummins (AUSTRALIA),10,0,41,4,4.1,10.25,15,v New Zealand,Canberra,06/12/16
JP Faulkner (AUSTRALIA),8.2,0,69,2,8.28,34.5,25,v New Zealand,Canberra,06/12/16
JR Hazlewood (AUSTRALIA),9,1,42,2,4.66,21,27,v New Zealand,Canberra,06/12/16
TM Head (AUSTRALIA),7,0,31,0,4.42,-0,-0,v New Zealand,Canberra,06/12/16
MR Marsh (AUSTRALIA),3,0,26,0,8.66,-0,-0,v New Zealand,Canberra,06/12/16
MA Starc (AUSTRALIA),10,0,52,2,5.2,26,30,v New Zealand,Canberra,06/12/16
PJ Cummins (AUSTRALIA),5.1,0,26,2,5.03,13,15.5,v New Zealand,Melbourne,09/12/16
JP Faulkner (AUSTRALIA),7,0,26,2,3.71,13,21,v New Zealand,Melbourne,09/12/16
JR Hazlewood (AUSTRALIA),7,1,22,1,3.14,22,42,v New Zealand,Melbourne,09/12/16
TM Head (AUSTRALIA),7,0,37,2,5.28,18.5,21,v New Zealand,Melbourne,09/12/16
MA Starc (AUSTRALIA),10,3,34,3,3.4,11.33,20,v New Zealand,Melbourne,09/12/16
PJ Cummins (AUSTRALIA),8.4,0,33,3,3.8,11,17.3,v Pakistan,Brisbane,13/01/17
JP Faulkner (AUSTRALIA),7,1,32,4,4.57,8,10.5,v Pakistan,Brisbane,13/01/17
TM Head (AUSTRALIA),10,0,28,0,2.8,-0,-0,v Pakistan,Brisbane,13/01/17
MR Marsh (AUSTRALIA),6,0,27,1,4.5,27,36,v Pakistan,Brisbane,13/01/17
B Stanlake (AUSTRALIA),3,0,13,0,4.33,-0,-0,v Pakistan,Brisbane,13/01/17
MA Starc (AUSTRALIA),8,0,34,2,4.25,17,24,v Pakistan,Brisbane,13/01/17
PJ Cummins (AUSTRALIA),10,1,48,0,4.8,-0,-0,v Pakistan,Melbourne,15/01/17
JP Faulkner (AUSTRALIA),9,0,35,2,3.88,17.5,27,v Pakistan,Melbourne,15/01/17
JR Hazlewood (AUSTRALIA),10,2,32,0,3.2,-0,-0,v Pakistan,Melbourne,15/01/17
TM Head (AUSTRALIA),2.4,0,23,0,8.62,-0,-0,v Pakistan,Melbourne,15/01/17
MR Marsh (AUSTRALIA),6,0,32,0,5.33,-0,-0,v Pakistan,Melbourne,15/01/17
MA Starc (AUSTRALIA),10,1,45,2,4.5,22.5,30,v Pakistan,Melbourne,15/01/17
R Ashwin (INDIA),8,0,63,0,7.87,-0,-0,v England,Pune,15/01/17
JJ Bumrah (INDIA),10,0,79,2,7.9,39.5,30,v England,Pune,15/01/17
RA Jadeja (INDIA),10,0,50,1,5,50,60,v England,Pune,15/01/17
KM Jadhav (INDIA),4,0,23,0,5.75,-0,-0,v England,Pune,15/01/17
HH Pandya (INDIA),9,0,46,2,5.11,23,27,v England,Pune,15/01/17
UT Yadav (INDIA),7,0,63,1,9,63,42,v England,Pune,15/01/17
Yuvraj Singh (INDIA),2,0,14,0,7,-0,-0,v England,Pune,15/01/17
PJ Cummins (AUSTRALIA),10,1,42,1,4.2,42,60,v Pakistan,Perth,19/01/17
JP Faulkner (AUSTRALIA),10,0,62,0,6.2,-0,-0,v Pakistan,Perth,19/01/17
JR Hazlewood (AUSTRALIA),10,0,32,3,3.2,10.66,20,v Pakistan,Perth,19/01/17
TM Head (AUSTRALIA),10,0,65,2,6.5,32.5,30,v Pakistan,Perth,19/01/17
B Stanlake (AUSTRALIA),10,1,55,1,5.5,55,60,v Pakistan,Perth,19/01/17
R Ashwin (INDIA),10,0,65,3,6.5,21.66,20,v England,Cuttack,19/01/17
JJ Bumrah (INDIA),9,0,81,2,9,40.5,27,v England,Cuttack,19/01/17
RA Jadeja (INDIA),10,0,45,1,4.5,45,60,v England,Cuttack,19/01/17
KM Jadhav (INDIA),5,0,45,0,9,-0,-0,v England,Cuttack,19/01/17
B Kumar (INDIA),10,1,63,1,6.3,63,60,v England,Cuttack,19/01/17
HH Pandya (INDIA),6,0,60,0,10,-0,-0,v England,Cuttack,19/01/17
PJ Cummins (AUSTRALIA),8,0,45,1,5.62,45,48,v Pakistan,Sydney,22/01/17
JR Hazlewood (AUSTRALIA),8.5,0,54,3,6.11,18,17.6,v Pakistan,Sydney,22/01/17
TM Head (AUSTRALIA),10,0,66,2,6.6,33,30,v Pakistan,Sydney,22/01/17
MA Starc (AUSTRALIA),7,0,42,1,6,42,42,v Pakistan,Sydney,22/01/17
A Zampa (AUSTRALIA),10,0,55,3,5.5,18.33,20,v Pakistan,Sydney,22/01/17
R Ashwin (INDIA),9,0,60,0,6.66,-0,-0,v England,Kolkata,22/01/17
JJ Bumrah (INDIA),10,1,68,1,6.8,68,60,v England,Kolkata,22/01/17
RA Jadeja (INDIA),10,0,62,2,6.2,31,30,v England,Kolkata,22/01/17
B Kumar (INDIA),8,0,56,0,7,-0,-0,v England,Kolkata,22/01/17
HH Pandya (INDIA),10,1,49,3,4.9,16.33,20,v England,Kolkata,22/01/17
Yuvraj Singh (INDIA),3,0,17,0,5.66,-0,-0,v England,Kolkata,22/01/17
PJ Cummins (AUSTRALIA),10,0,60,2,6,30,30,v Pakistan,Adelaide,26/01/17
JP Faulkner (AUSTRALIA),9,0,60,1,6.66,60,54,v Pakistan,Adelaide,26/01/17
JR Hazlewood (AUSTRALIA),10,0,74,1,7.4,74,60,v Pakistan,Adelaide,26/01/17
TM Head (AUSTRALIA),2,0,13,0,6.5,-0,-0,v Pakistan,Adelaide,26/01/17
MA Starc (AUSTRALIA),9.1,1,42,4,4.58,10.5,13.7,v Pakistan,Adelaide,26/01/17
A Zampa (AUSTRALIA),9,0,61,1,6.77,61,54,v Pakistan,Adelaide,26/01/17
PJ Cummins (AUSTRALIA),9,0,67,2,7.44,33.5,27,v New Zealand,Auckland,30/01/17
JP Faulkner (AUSTRALIA),6,0,29,1,4.83,29,36,v New Zealand,Auckland,30/01/17
JR Hazlewood (AUSTRALIA),10,0,48,1,4.8,48,60,v New Zealand,Auckland,30/01/17
TM Head (AUSTRALIA),5,0,21,1,4.2,21,30,v New Zealand,Auckland,30/01/17
MA Starc (AUSTRALIA),10,0,59,1,5.9,59,60,v New Zealand,Auckland,30/01/17
MP Stoinis (AUSTRALIA),10,0,49,3,4.9,16.33,20,v New Zealand,Auckland,30/01/17
PJ Cummins (AUSTRALIA),10,0,47,1,4.7,47,60,v New Zealand,Hamilton,05/02/17
JP Faulkner (AUSTRALIA),9,0,59,3,6.55,19.66,18,v New Zealand,Hamilton,05/02/17
JR Hazlewood (AUSTRALIA),10,0,44,2,4.4,22,30,v New Zealand,Hamilton,05/02/17
MA Starc (AUSTRALIA),10,1,62,3,6.2,20.66,20,v New Zealand,Hamilton,05/02/17
MP Stoinis (AUSTRALIA),4,0,22,0,5.5,-0,-0,v New Zealand,Hamilton,05/02/17
A Zampa (AUSTRALIA),7,0,41,0,5.85,-0,-0,v New Zealand,Hamilton,05/02/17
PJ Cummins (AUSTRALIA),9,0,67,1,7.44,67,54,v New Zealand,Birmingham,02/06/17
JW Hastings (AUSTRALIA),9,0,69,2,7.66,34.5,27,v New Zealand,Birmingham,02/06/17
JR Hazlewood (AUSTRALIA),9,0,52,6,5.77,8.66,9,v New Zealand,Birmingham,02/06/17
TM Head (AUSTRALIA),4,0,22,0,5.5,-0,-0,v New Zealand,Birmingham,02/06/17
MC Henriques (AUSTRALIA),5,0,25,0,5,-0,-0,v New Zealand,Birmingham,02/06/17
MA Starc (AUSTRALIA),9,0,52,0,5.77,-0,-0,v New Zealand,Birmingham,02/06/17
JJ Bumrah (INDIA),5,0,23,0,4.6,-0,-0,v Pakistan,Birmingham,04/06/17
RA Jadeja (INDIA),8,0,43,2,5.37,21.5,24,v Pakistan,Birmingham,04/06/17
B Kumar (INDIA),5,1,23,1,4.6,23,30,v Pakistan,Birmingham,04/06/17
HH Pandya (INDIA),8,0,43,2,5.37,21.5,24,v Pakistan,Birmingham,04/06/17
UT Yadav (INDIA),7.4,1,30,3,3.91,10,15.3,v Pakistan,Birmingham,04/06/17
PJ Cummins (AUSTRALIA),8,1,22,1,2.75,22,48,v Bangladesh,The Oval,05/06/17
JR Hazlewood (AUSTRALIA),10,0,40,1,4,40,60,v Bangladesh,The Oval,05/06/17
TM Head (AUSTRALIA),8,0,33,1,4.12,33,48,v Bangladesh,The Oval,05/06/17
MC Henriques (AUSTRALIA),5,0,30,1,6,30,30,v Bangladesh,The Oval,05/06/17
GJ Maxwell (AUSTRALIA),1,0,9,0,9,-0,-0,v Bangladesh,The Oval,05/06/17
MA Starc (AUSTRALIA),8.3,2,29,4,3.41,7.25,12.7,v Bangladesh,The Oval,05/06/17
A Zampa (AUSTRALIA),4,1,13,2,3.25,6.5,12,v Bangladesh,The Oval,05/06/17
JJ Bumrah (INDIA),10,0,52,0,5.2,-0,-0,v Sri Lanka,The Oval,08/06/17
RA Jadeja (INDIA),6,0,52,0,8.66,-0,-0,v Sri Lanka,The Oval,08/06/17
KM Jadhav (INDIA),3,0,18,0,6,-0,-0,v Sri Lanka,The Oval,08/06/17
V Kohli (INDIA),3,0,17,0,5.66,-0,-0,v Sri Lanka,The Oval,08/06/17
B Kumar (INDIA),10,0,54,1,5.4,54,60,v Sri Lanka,The Oval,08/06/17
HH Pandya (INDIA),7,1,51,0,7.28,-0,-0,v Sri Lanka,The Oval,08/06/17
UT Yadav (INDIA),9.4,0,67,0,6.93,-0,-0,v Sri Lanka,The Oval,08/06/17
PJ Cummins (AUSTRALIA),8,1,55,0,6.87,-0,-0,v England,Birmingham,10/06/17
JR Hazlewood (AUSTRALIA),9,0,50,2,5.55,25,27,v England,Birmingham,10/06/17
TM Head (AUSTRALIA),2,0,9,0,4.5,-0,-0,v England,Birmingham,10/06/17
MC Henriques (AUSTRALIA),1,0,6,0,6,-0,-0,v England,Birmingham,10/06/17
GJ Maxwell (AUSTRALIA),2,0,14,0,7,-0,-0,v England,Birmingham,10/06/17
MA Starc (AUSTRALIA),10,0,52,1,5.2,52,60,v England,Birmingham,10/06/17
A Zampa (AUSTRALIA),8.2,0,52,0,6.24,-0,-0,v England,Birmingham,10/06/17
R Ashwin (INDIA),9,0,43,1,4.77,43,54,v South Africa,The Oval,11/06/17
JJ Bumrah (INDIA),8,0,28,2,3.5,14,24,v South Africa,The Oval,11/06/17
RA Jadeja (INDIA),10,0,39,1,3.9,39,60,v South Africa,The Oval,11/06/17
B Kumar (INDIA),7.3,0,23,2,3.06,11.5,22.5,v South Africa,The Oval,11/06/17
HH Pandya (INDIA),10,0,52,1,5.2,52,60,v South Africa,The Oval,11/06/17
R Ashwin (INDIA),10,0,54,0,5.4,-0,-0,v Bangladesh,Birmingham,15/06/17
JJ Bumrah (INDIA),10,1,39,2,3.9,19.5,30,v Bangladesh,Birmingham,15/06/17
RA Jadeja (INDIA),10,0,48,1,4.8,48,60,v Bangladesh,Birmingham,15/06/17
KM Jadhav (INDIA),6,0,22,2,3.66,11,18,v Bangladesh,Birmingham,15/06/17
B Kumar (INDIA),10,1,53,2,5.3,26.5,30,v Bangladesh,Birmingham,15/06/17
HH Pandya (INDIA),4,0,34,0,8.5,-0,-0,v Bangladesh,Birmingham,15/06/17
R Ashwin (INDIA),10,0,70,0,7,-0,-0,v Pakistan,The Oval,18/06/17
JJ Bumrah (INDIA),9,0,68,0,7.55,-0,-0,v Pakistan,The Oval,18/06/17
RA Jadeja (INDIA),8,0,67,0,8.37,-0,-0,v Pakistan,The Oval,18/06/17
KM Jadhav (INDIA),3,0,27,1,9,27,18,v Pakistan,The Oval,18/06/17
B Kumar (INDIA),10,2,44,1,4.4,44,60,v Pakistan,The Oval,18/06/17
HH Pandya (INDIA),10,0,53,1,5.3,53,60,v Pakistan,The Oval,18/06/17
R Ashwin (INDIA),9,0,47,1,5.22,47,54,v West Indies,Port of Spain,25/06/17
Kuldeep Yadav (INDIA),9,0,50,3,5.55,16.66,18,v West Indies,Port of Spain,25/06/17
B Kumar (INDIA),5,1,9,2,1.8,4.5,15,v West Indies,Port of Spain,25/06/17
HH Pandya (INDIA),9,0,32,0,3.55,-0,-0,v West Indies,Port of Spain,25/06/17
UT Yadav (INDIA),6,0,36,0,6,-0,-0,v West Indies,Port of Spain,25/06/17
Yuvraj Singh (INDIA),5,0,25,0,5,-0,-0,v West Indies,Port of Spain,25/06/17
R Ashwin (INDIA),10,1,28,3,2.8,9.33,20,v West Indies,North Sound,30/06/17
KM Jadhav (INDIA),0.1,0,0,1,0,0,1,v West Indies,North Sound,30/06/17
Kuldeep Yadav (INDIA),10,1,41,3,4.1,13.66,20,v West Indies,North Sound,30/06/17
B Kumar (INDIA),5,0,19,0,3.8,-0,-0,v West Indies,North Sound,30/06/17
HH Pandya (INDIA),6,0,32,2,5.33,16,18,v West Indies,North Sound,30/06/17
UT Yadav (INDIA),7,0,32,1,4.57,32,42,v West Indies,North Sound,30/06/17
RA Jadeja (INDIA),10,0,48,0,4.8,-0,-0,v West Indies,North Sound,02/07/17
Kuldeep Yadav (INDIA),10,1,31,2,3.1,15.5,30,v West Indies,North Sound,02/07/17
Mohammed Shami (INDIA),10,2,33,0,3.3,-0,-0,v West Indies,North Sound,02/07/17
HH Pandya (INDIA),10,0,40,3,4,13.33,20,v West Indies,North Sound,02/07/17
UT Yadav (INDIA),10,1,36,3,3.6,12,20,v West Indies,North Sound,02/07/17
RA Jadeja (INDIA),10,1,27,0,2.7,-0,-0,v West Indies,Kingston,06/07/17
KM Jadhav (INDIA),4,0,13,1,3.25,13,24,v West Indies,Kingston,06/07/17
Kuldeep Yadav (INDIA),10,0,36,0,3.6,-0,-0,v West Indies,Kingston,06/07/17
Mohammed Shami (INDIA),10,0,48,4,4.8,12,15,v West Indies,Kingston,06/07/17
HH Pandya (INDIA),6,0,27,1,4.5,27,36,v West Indies,Kingston,06/07/17
UT Yadav (INDIA),10,1,53,3,5.3,17.66,20,v West Indies,Kingston,06/07/17
JJ Bumrah (INDIA),6.2,0,22,2,3.47,11,19,v Sri Lanka,Dambulla,20/08/17
YS Chahal (INDIA),10,0,60,2,6,30,30,v Sri Lanka,Dambulla,20/08/17
KM Jadhav (INDIA),5,0,26,2,5.2,13,15,v Sri Lanka,Dambulla,20/08/17
B Kumar (INDIA),6,0,33,0,5.5,-0,-0,v Sri Lanka,Dambulla,20/08/17
HH Pandya (INDIA),6,0,35,0,5.83,-0,-0,v Sri Lanka,Dambulla,20/08/17
AR Patel (INDIA),10,0,34,3,3.4,11.33,20,v Sri Lanka,Dambulla,20/08/17
JJ Bumrah (INDIA),10,2,43,4,4.3,10.75,15,v Sri Lanka,Pallekele,24/08/17
YS Chahal (INDIA),10,1,43,2,4.3,21.5,30,v Sri Lanka,Pallekele,24/08/17
KM Jadhav (INDIA),4.4,0,32,0,6.85,-0,-0,v Sri Lanka,Pallekele,24/08/17
B Kumar (INDIA),10,0,53,0,5.3,-0,-0,v Sri Lanka,Pallekele,24/08/17
HH Pandya (INDIA),5.2,0,24,1,4.5,24,32,v Sri Lanka,Pallekele,24/08/17
AR Patel (INDIA),10,0,30,1,3,30,60,v Sri Lanka,Pallekele,24/08/17
JJ Bumrah (INDIA),10,2,27,5,2.7,5.4,12,v Sri Lanka,Pallekele,27/08/17
YS Chahal (INDIA),10,0,49,0,4.9,-0,-0,v Sri Lanka,Pallekele,27/08/17
KM Jadhav (INDIA),3,0,12,1,4,12,18,v Sri Lanka,Pallekele,27/08/17
B Kumar (INDIA),9,2,41,0,4.55,-0,-0,v Sri Lanka,Pallekele,27/08/17
HH Pandya (INDIA),8,0,42,1,5.25,42,48,v Sri Lanka,Pallekele,27/08/17
AR Patel (INDIA),10,1,35,1,3.5,35,60,v Sri Lanka,Pallekele,27/08/17
JJ Bumrah (INDIA),7,0,32,2,4.57,16,21,v Sri Lanka,Colombo (RPS),31/08/17
V Kohli (INDIA),2,0,12,0,6,-0,-0,v Sri Lanka,Colombo (RPS),31/08/17
Kuldeep Yadav (INDIA),8.4,1,31,2,3.57,15.5,26,v Sri Lanka,Colombo (RPS),31/08/17
HH Pandya (INDIA),8,0,50,2,6.25,25,24,v Sri Lanka,Colombo (RPS),31/08/17
AR Patel (INDIA),10,0,55,1,5.5,55,60,v Sri Lanka,Colombo (RPS),31/08/17
SN Thakur (INDIA),7,0,26,1,3.71,26,42,v Sri Lanka,Colombo (RPS),31/08/17
JJ Bumrah (INDIA),10,0,45,2,4.5,22.5,30,v Sri Lanka,Colombo (RPS),03/09/17
YS Chahal (INDIA),10,0,36,1,3.6,36,60,v Sri Lanka,Colombo (RPS),03/09/17
KM Jadhav (INDIA),4,0,20,0,5,-0,-0,v Sri Lanka,Colombo (RPS),03/09/17
Kuldeep Yadav (INDIA),10,0,40,1,4,40,60,v Sri Lanka,Colombo (RPS),03/09/17
B Kumar (INDIA),9.4,0,42,5,4.34,8.4,11.6,v Sri Lanka,Colombo (RPS),03/09/17
SN Thakur (INDIA),6,0,48,0,8,-0,-0,v Sri Lanka,Colombo (RPS),03/09/17
